frame,tNs,minDistNm,nInside1nm,U_pep_His,U_tot,theta,q_His
0,0,0.35442475,10,115.53907981,-291.82695764,0.50000000,0.50000000
1,100,0.49676288,5,59.12363548,-300.32306572,0.50000000,0.50000000
2,200,0.90045215,3,28.86881535,-312.60687801,0.50000000,0.50000000
3,300,1.02275028,0,17.79063881,-554.88562649,0.50000000,0.50000000
4,400,0.88401730,1,14.82440207,-300.62084633,0.50000000,0.50000000
5,500,1.09572210,0,11.21440789,-263.86792283,0.50000000,0.50000000
6,600,0.83375156,1,12.66842329,-304.62477121,0.50000000,0.50000000
7,700,1.14693739,0,8.13275926,-195.38799540,0.50000000,0.50000000
8,800,0.91076334,1,10.74530306,-771.02536322,0.50000000,0.50000000
9,900,0.81784049,1,9.49635425,-239.82009925,0.50000000,0.50000000
10,1000,0.93713691,1,9.30063249,-488.98258120,0.50000000,0.50000000
11,1100,0.73658648,1,9.74634988,-229.61307252,0.50000000,0.50000000
12,1200,0.96137792,1,8.66951532,-334.79886248,0.50000000,0.50000000
13,1300,0.82474808,1,8.37971234,-235.92685048,0.50000000,0.50000000
14,1400,0.93108567,1,9.09051238,-341.96504644,0.50000000,0.50000000
15,1500,0.80296549,1,8.45572956,-190.67036999,0.50000000,0.50000000
16,1600,0.92632987,1,9.69188194,-246.63616033,0.50000000,0.50000000
17,1700,0.90367268,1,7.88279874,-209.63064205,0.50000000,0.50000000
18,1800,0.87336181,1,9.24464358,-235.82320296,0.50000000,0.50000000
19,1900,0.98457685,1,7.12484241,-207.80946175,0.50000000,0.50000000
20,2000,0.99631047,1,7.95911884,-205.16477574,0.50000000,0.50000000
21,2100,0.87470116,1,7.99297120,-279.16686245,0.50000000,0.50000000
22,2200,1.04181852,0,7.29221118,-186.47133231,0.50000000,0.50000000
23,2300,0.87983982,1,8.34936566,-447.69735709,0.50000000,0.50000000
24,2400,0.92635995,1,7.93791562,-214.44938401,0.50000000,0.50000000
25,2500,0.98734662,1,6.95771844,-299.89500614,0.50000000,0.50000000
26,2600,0.57086947,1,12.72410139,-202.39458414,0.50000000,0.50000000
27,2700,0.96284582,1,7.54925409,-340.14321965,0.50000000,0.50000000
28,2800,0.57613319,1,12.63264442,-167.89232146,0.50000000,0.50000000
29,2900,0.85803567,1,8.89412506,-325.72412260,0.50000000,0.50000000
30,3000,1.05729324,0,7.43497946,-183.77280657,0.50000000,0.50000000
31,3100,0.85300392,1,8.33772357,-248.97932069,0.50000000,0.50000000
32,3200,0.98024891,1,8.17839697,-238.07507546,0.50000000,0.50000000
33,3300,0.92150490,1,8.35977191,-214.09545788,0.50000000,0.50000000
34,3400,0.94958649,1,8.44158493,-302.95456293,0.50000000,0.50000000
35,3500,0.82949030,1,9.11971019,-183.76475071,0.50000000,0.50000000
36,3600,1.02664054,0,6.97741006,-234.27762024,0.50000000,0.50000000
37,3700,0.55435418,1,13.52512276,-210.53057426,0.50000000,0.50000000
