frame,tNs,minDistNm,nInside1nm,U_pep_His,U_tot,theta,q_His
0,0,0.35442475,10,28.88476995,-76.64358578,0.50000000,0.50000000
1,100,0.49357383,5,14.89989565,-84.26928558,0.50000000,0.50000000
2,200,0.85355478,3,7.47020230,-81.27435756,0.50000000,0.50000000
3,300,0.56888404,1,6.46481099,-60.76253266,0.50000000,0.50000000
4,400,0.78182748,1,4.13194682,-88.65595933,0.50000000,0.50000000
5,500,0.58637041,2,5.34320415,-55.90623774,0.50000000,0.50000000
6,600,0.72966176,1,3.50678804,-82.00543181,0.50000000,0.50000000
7,700,0.69017912,2,4.25346739,-56.93256373,0.50000000,0.50000000
8,800,0.78943944,1,2.94747039,-85.08909695,0.50000000,0.50000000
9,900,0.40074924,2,7.22961637,-53.47845736,0.50000000,0.50000000
10,1000,0.65817540,1,3.45252328,-67.16153993,0.50000000,0.50000000
11,1100,0.83533987,1,3.11869862,-89.11765272,0.50000000,0.50000000
12,1200,0.76642038,1,2.84335221,-70.82362122,0.50000000,0.50000000
13,1300,0.47412246,1,5.11124022,-60.93093583,0.50000000,0.50000000
14,1400,0.67772610,1,3.50379000,-59.39246192,0.50000000,0.50000000
15,1500,0.70399522,1,3.38919314,-90.34611376,0.50000000,0.50000000
16,1600,0.69212958,1,3.18015862,-52.40125928,0.50000000,0.50000000
17,1700,0.73489768,1,3.11227731,-85.93367836,0.50000000,0.50000000
18,1800,0.58966430,2,4.57477182,-61.72985185,0.50000000,0.50000000
19,1900,0.84889665,1,2.44446848,-62.52708525,0.50000000,0.50000000
20,2000,0.63642744,2,4.37273347,-74.03120788,0.50000000,0.50000000
21,2100,0.86054772,1,2.31691503,-56.04742144,0.50000000,0.50000000
22,2200,0.71053233,2,3.80040148,-108.30275771,0.50000000,0.50000000
23,2300,0.76196855,1,2.47628611,-44.60172718,0.50000000,0.50000000
24,2400,0.65212309,1,3.89047196,-137.69439825,0.50000000,0.50000000
25,2500,0.91166687,1,1.99066787,-40.43881841,0.50000000,0.50000000
26,2600,0.67220385,1,3.39755548,-245.75647368,0.50000000,0.50000000
27,2700,0.75417161,1,2.65480931,-48.65327372,0.50000000,0.50000000
28,2800,0.64643846,1,3.73829121,-75.26744978,0.50000000,0.50000000
29,2900,0.72387856,1,3.12166102,-53.26350861,0.50000000,0.50000000
30,3000,0.75681580,1,2.96008904,-60.68551417,0.50000000,0.50000000
31,3100,0.58461656,2,4.04513895,-53.65235565,0.50000000,0.50000000
32,3200,0.64081286,1,3.60241231,-67.33625579,0.50000000,0.50000000
33,3300,0.84567810,2,2.87324119,-62.42897124,0.50000000,0.50000000
34,3400,0.88930347,1,2.55262819,-52.99405631,0.50000000,0.50000000
35,3500,0.59081826,2,4.28912477,-71.12806461,0.50000000,0.50000000
36,3600,0.82571567,1,2.57793592,-53.41298093,0.50000000,0.50000000
37,3700,0.52350261,1,4.92111872,-64.43736405,0.50000000,0.50000000
38,3800,0.79263512,1,2.61000078,-56.91995083,0.50000000,0.50000000
39,3900,0.64727481,1,3.94035689,-130.77916208,0.50000000,0.50000000
40,4000,0.83935986,1,2.31628671,-51.15990560,0.50000000,0.50000000
41,4100,0.64121487,2,3.99999720,-94.06760998,0.50000000,0.50000000
42,4200,0.78150312,1,2.61066782,-50.24160275,0.50000000,0.50000000
43,4300,0.68667680,1,3.60169846,-110.02751402,0.50000000,0.50000000
44,4400,0.74006175,1,3.27880422,-42.32409869,0.50000000,0.50000000
45,4500,0.76879415,2,3.22715946,-101.62735079,0.50000000,0.50000000
46,4600,0.49068404,1,5.38320407,-53.69417452,0.50000000,0.50000000
47,4700,0.71034628,1,3.16548681,-60.78709014,0.50000000,0.50000000
48,4800,0.72702020,1,3.14121546,-66.01706743,0.50000000,0.50000000
49,4900,0.70911729,1,3.26863627,-67.95736628,0.50000000,0.50000000
50,5000,0.76886409,1,2.92715155,-54.58837341,0.50000000,0.50000000
51,5100,0.65721942,2,3.70831723,-61.70158808,0.50000000,0.50000000
52,5200,0.81894293,1,2.96445761,-62.41718766,0.50000000,0.50000000
53,5300,0.73287367,2,3.10938600,-64.40475171,0.50000000,0.50000000
54,5400,0.70734117,1,3.45818253,-75.71269835,0.50000000,0.50000000
55,5500,0.77286317,1,2.74111033,-53.58464880,0.50000000,0.50000000
56,5600,0.71881081,1,3.19514111,-69.17966116,0.50000000,0.50000000
57,5700,0.80829032,2,2.92139119,-51.64440272,0.50000000,0.50000000
58,5800,0.66236736,1,3.59035614,-71.23716595,0.50000000,0.50000000
59,5900,0.84132851,2,2.75115697,-48.16738148,0.50000000,0.50000000
60,6000,0.84427914,1,2.65640875,-56.77288933,0.50000000,0.50000000
61,6100,0.71532218,2,3.47757637,-163.62709248,0.50000000,0.50000000
62,6200,0.34416147,1,7.68858108,-45.46891016,0.50000000,0.50000000
63,6300,0.70924099,1,3.36339816,-110.41638360,0.50000000,0.50000000
64,6400,0.68774846,1,3.34364902,-43.52154542,0.50000000,0.50000000
65,6500,0.71423535,1,3.16247204,-130.21163256,0.50000000,0.50000000
66,6600,0.54739256,1,4.52573328,-42.92338323,0.50000000,0.50000000
67,6700,0.79662103,1,2.65376277,-72.79799758,0.50000000,0.50000000
68,6800,0.53277793,1,4.65771789,-63.11242966,0.50000000,0.50000000
69,6900,0.90591988,1,2.08606270,-52.83098005,0.50000000,0.50000000
70,7000,0.70004821,2,3.95614060,-70.44446352,0.50000000,0.50000000
71,7100,0.63481372,1,3.14096250,-58.69194220,0.50000000,0.50000000
72,7200,0.70476557,2,3.70980897,-66.57029780,0.50000000,0.50000000
73,7300,0.68359418,1,2.81214058,-52.88817397,0.50000000,0.50000000
74,7400,0.73735216,1,3.41621844,-66.95332753,0.50000000,0.50000000
75,7500,0.70146013,1,2.88365575,-62.31324301,0.50000000,0.50000000
76,7600,0.68945602,1,3.34535606,-58.62451154,0.50000000,0.50000000
77,7700,0.69114548,1,2.91756541,-63.11629223,0.50000000,0.50000000
78,7800,0.57950720,1,4.45091022,-69.77310003,0.50000000,0.50000000
79,7900,0.87450505,1,2.42827608,-64.34086022,0.50000000,0.50000000
80,8000,0.67085248,1,3.64658746,-68.66735068,0.50000000,0.50000000
81,8100,0.71980298,1,2.89253014,-63.91375073,0.50000000,0.50000000
82,8200,0.71884939,1,3.49899189,-80.90132324,0.50000000,0.50000000
83,8300,0.69415086,1,3.22992842,-60.35652848,0.50000000,0.50000000
84,8400,0.70936338,1,3.36046592,-66.70174235,0.50000000,0.50000000
85,8500,0.67281651,1,3.17697403,-79.21927952,0.50000000,0.50000000
86,8600,0.67049859,1,3.45412639,-81.56283193,0.50000000,0.50000000
87,8700,0.79141894,1,2.45130959,-55.56757993,0.50000000,0.50000000
88,8800,0.70789844,1,3.67666476,-95.92913670,0.50000000,0.50000000
89,8900,0.68211518,1,2.82932131,-52.27500709,0.50000000,0.50000000
90,9000,0.68400903,1,3.66432513,-84.42367778,0.50000000,0.50000000
91,9100,0.77135003,1,2.67513591,-57.50154540,0.50000000,0.50000000
92,9200,0.73870566,1,3.54297829,-66.75702172,0.50000000,0.50000000
93,9300,0.71106026,1,2.75477438,-62.19444598,0.50000000,0.50000000
94,9400,0.69742244,1,3.54598345,-50.32370156,0.50000000,0.50000000
95,9500,0.80081314,1,2.88869410,-67.06792612,0.50000000,0.50000000
96,9600,0.61735478,1,3.96031753,-68.47913563,0.50000000,0.50000000
97,9700,0.81743284,1,2.53119057,-64.82369086,0.50000000,0.50000000
